clinical_drug_form	ingredient
DRON:00020715	CHEBI:51141
DRON:00020716	CHEBI:23965
DRON:00020716	CHEBI:763
DRON:00020717	CHEBI:94316
DRON:00020718	CHEBI:94316
DRON:00020719	CHEBI:94316
DRON:00020720	CHEBI:40279
DRON:00020721	CHEBI:40279
DRON:00020722	CHEBI:40279
DRON:00020723	CHEBI:40279
DRON:00020723	CHEBI:8426
DRON:00020724	CHEBI:3023
DRON:00020724	CHEBI:40279
DRON:00020725	CHEBI:23359
DRON:00020725	CHEBI:40279
DRON:00020726	CHEBI:23359
DRON:00020726	CHEBI:40279
DRON:00020727	CHEBI:31189
DRON:00020728	DRON:00010169
DRON:00020729	DRON:00010169
DRON:00020730	DRON:00012852
DRON:00020731	DRON:00012852
DRON:00020732	CHEBI:2611
DRON:00020733	CHEBI:2611
DRON:00020734	DRON:00010172
DRON:00020735	DRON:00010173
DRON:00020736	CHEBI:24564
DRON:00020737	CHEBI:33130
DRON:00020737	CHEBI:35149
DRON:00020738	CHEBI:33130
DRON:00020738	CHEBI:35149
DRON:00020739	CHEBI:33130
DRON:00020739	CHEBI:35149
DRON:00020740	CHEBI:33130
DRON:00020740	CHEBI:35149
DRON:00020741	DRON:00018280
DRON:00020742	DRON:00018206
DRON:00020742	DRON:00018280
DRON:00020743	DRON:00010178
DRON:00020744	DRON:00010179
DRON:00020745	CHEBI:30114
DRON:00020746	CHEBI:33130
DRON:00020746	CHEBI:41462
DRON:00020747	CHEBI:31794
DRON:00020747	CHEBI:33130
DRON:00020748	CHEBI:31793
DRON:00020748	CHEBI:33130
DRON:00020749	CHEBI:31793
DRON:00020749	CHEBI:33130
DRON:00020750	CHEBI:31793
DRON:00020750	CHEBI:33130
DRON:00020751	CHEBI:33130
DRON:00020751	DRON:00018161
DRON:00020752	CHEBI:33130
DRON:00020752	DRON:00018161
DRON:00020753	DRON:00014423
DRON:00020754	CHEBI:74768
DRON:00020755	CHEBI:135590
DRON:00020756	CHEBI:135590
DRON:00020757	CHEBI:135590
DRON:00020758	CHEBI:135590
DRON:00020759	CHEBI:51208
DRON:00020760	CHEBI:145698
DRON:00020761	CHEBI:145698
DRON:00020762	CHEBI:2639
DRON:00020762	CHEBI:47426
DRON:00020763	CHEBI:2639
DRON:00020763	CHEBI:5778
DRON:00020764	CHEBI:2639
DRON:00020765	CHEBI:2639
DRON:00020765	CHEBI:3213
DRON:00020766	CHEBI:2639
DRON:00020766	DRON:00011249
DRON:00020767	CHEBI:74789
DRON:00020768	CHEBI:32499
DRON:00020769	CHEBI:74821
DRON:00020770	CHEBI:74821
DRON:00020771	CHEBI:74821
DRON:00020772	CHEBI:135554
DRON:00020772	CHEBI:74821
DRON:00020773	CHEBI:27565
DRON:00020774	CHEBI:64045
DRON:00020775	CHEBI:2666
DRON:00020776	CHEBI:2666
DRON:00020777	CHEBI:2666
DRON:00020778	CHEBI:2666
DRON:00020778	CHEBI:3611
DRON:00020779	CHEBI:31206
DRON:00020780	CHEBI:31206
DRON:00020781	CHEBI:31206
DRON:00020782	CHEBI:2673
DRON:00020783	CHEBI:2673
DRON:00020784	CHEBI:2673
DRON:00020785	CHEBI:135590
DRON:00020785	CHEBI:2676
DRON:00020786	CHEBI:135590
DRON:00020786	CHEBI:2676
DRON:00020787	CHEBI:2676
DRON:00020787	CHEBI:77032
DRON:00020788	CHEBI:135832
DRON:00020788	CHEBI:2676
DRON:00020789	CHEBI:135832
