rxcui	drugbank
16818	DB00459
17128	DB00448
17145	DB00600
17199	DB04944
17200	DB01700
17230	DB05540
17300	DB00346
17305	DB13518
17311	DB01425
17345	DB11780
17354	DB15477
17381	DB01352
17392	DB13650
17511	DB08845
17531	DB01557
17541	DB16306
17609	DB14518
17610	DB11573
17614	DB11230
17614	DB13595
17618	DB14517
17621	DB11239
17627	DB01616
17652	DB00288
17698	DB04836
17765	DB13114
17767	DB00381
17789	DB11128
17804	DB09056
17866	DB05767
17881	DB15916
17898	DB11720
17908	DB11842
17933	DB00913
17939	DB04599
17941	DB01125
17942	DB11785
17945	DB00517
18044	DB00058
18062	DB11702
18104	DB01419
18184	DB04626
18187	DB13221
18235	DB13964
18254	DB15993
18330	DB01169
18336	DB04456
18341	DB13851
18343	DB06697
18346	DB09274
18405	DB14081
18451	DB06543
18469	DB01208
18475	DB11481
18516	DB01574
18586	DB19419
18598	DB19364
18600	DB00719
18602	DB00548
18603	DB00972
18631	DB00207
18651	DB08961
18687	DB01602
18747	DB01014
18751	DB01408
18752	DB13203
18753	DB13489
18800	DB12804
18854	DB13673
18867	DB00542
18873	DB13501
18880	DB09022
18883	DB09231
18886	DB04812
18889	DB00892
18891	DB11748
18896	DB00522
18952	DB13277
18989	DB03793
18993	DB00868
18994	DB11989
18997	DB01878
19008	DB00562
19019	DB01515
19041	DB00767
19044	DB00676
19057	DB00865
19075	DB14176
19079	DB00895
19088	DB05229
19106	DB03424
19122	DB16468
19143	DB06755
19192	DB15344
19207	DB11948
19257	DB01019
19261	DB12480
19263	DB01295
19265	DB01459
19277	DB04889
19295	DB04794
19338	DB13746
19461	DB13153
19463	DB17247
19472	DB15929
19475	DB11281
19476	DB13909
19477	DB13209
19478	DB01294
19484	DB00612
19499	DB00901
19526	DB12992
19551	DB00885
19552	DB01150
19606	DB14505
19610	DB13619
19666	DB04899
19666	DB19026
19679	DB12617
19685	DB01158
19710	DB04917
19737	DB00963
19759	DB01237
19768	DB09018
19777	DB12401
19784	DB16533
19790	DB09017
19808	DB11752
19826	DB13278
19827	DB12752
19831	DB01222
19847	DB13286
19850	DB12230
19860	DB00241
19861	DB11148
19862	DB13731
19874	DB01353
19877	DB12870
19882	DB15861
19884	DB00639
19895	DB09016
19951	DB03695
19959	DB09488
19978	DB05398
20012	DB16572
20057	DB15912
20063	DB14684
20117	DB13612
20178	DB04519
20196	DB14173
20216	DB09319
20217	DB11186
20218	DB01282
20220	DB00748
20259	DB00429
20298	DB15649
20319	DB01535
20336	DB09254
20343	DB00821
20352	DB01136
20386	DB01560
20473	DB14725
20481	DB01413
20482	DB13504
20485	DB13470
20486	DB00923
20488	DB00430
20489	DB01416
20491	DB13821
20492	DB01415
20498	DB04846
20554	DB16824
20577	DB16599
20610	DB00341
20614	DB01718
20615	DB09494
20617	DB11583
20767	DB14658
20769	DB07565
20783	DB01511
20799	DB12453
20823	DB16864
20859	DB01161
20861	DB08800
20875	DB01243
20877	DB11121
20880	DB14656
20881	DB09007
20883	DB12314
20890	DB06725
20974	DB14006
20976	DB01303
21009	DB09129
21017	DB14527
21090	DB01188
21099	DB13358
21102	DB01340
21107	DB01166
21116	DB03852
