curie	ndc	branded_drug
DRON:00092235	54569043900	DRON:00069402
DRON:00092236	54569855400	DRON:00069402
DRON:00092237	54569855401	DRON:00069402
DRON:00092238	54868031901	DRON:00069402
DRON:00092239	54868031902	DRON:00069402
DRON:00092240	54868031903	DRON:00069402
DRON:00092241	54868031906	DRON:00069402
DRON:00092242	55289041210	DRON:00069402
DRON:00092243	55289041230	DRON:00069402
DRON:00092244	55289041260	DRON:00069402
DRON:00092245	57866675101	DRON:00069402
DRON:00092246	00108502713	DRON:00069403
DRON:00092247	00108502721	DRON:00069403
DRON:00092248	00108502725	DRON:00069403
DRON:00092249	00108502776	DRON:00069403
DRON:00092250	00247117314	DRON:00069403
DRON:00092251	55289025010	DRON:00069403
DRON:00092252	00173036238	DRON:00069420
DRON:00092253	00173036300	DRON:00069420
DRON:00092254	00173036301	DRON:00069420
DRON:00092255	51947784000	DRON:00069420
DRON:00092256	51947784003	DRON:00069420
DRON:00092257	51947784004	DRON:00069420
DRON:00092258	51947784005	DRON:00069420
DRON:00092259	62584049042	DRON:00069420
DRON:00092260	00006096328	DRON:00069425
DRON:00092261	00006096331	DRON:00069425
DRON:00092262	00006096358	DRON:00069425
DRON:00092263	00006096362	DRON:00069425
DRON:00092264	00006096370	DRON:00069425
DRON:00092265	00006096372	DRON:00069425
DRON:00092266	00006096382	DRON:00069425
DRON:00092267	00006096387	DRON:00069425
DRON:00092268	00006096394	DRON:00069425
DRON:00092269	00006096398	DRON:00069425
DRON:00092270	00247172302	DRON:00069425
DRON:00092271	00247172303	DRON:00069425
DRON:00092272	00247172306	DRON:00069425
DRON:00092273	00247172314	DRON:00069425
DRON:00092274	00247172340	DRON:00069425
DRON:00092275	52959046530	DRON:00069425
DRON:00092276	54569235200	DRON:00069425
DRON:00092277	54569235201	DRON:00069425
DRON:00092278	54569235202	DRON:00069425
DRON:00092279	54569235203	DRON:00069425
DRON:00092280	54569235204	DRON:00069425
DRON:00092281	54569235205	DRON:00069425
DRON:00092282	54868030301	DRON:00069425
DRON:00092283	54868030302	DRON:00069425
DRON:00092284	54868030303	DRON:00069425
DRON:00092285	55154500507	DRON:00069425
DRON:00092286	55289016297	DRON:00069425
DRON:00092287	55289047306	DRON:00069425
DRON:00092288	55289047320	DRON:00069425
DRON:00092289	58016063500	DRON:00069425
DRON:00092290	58016063530	DRON:00069425
DRON:00092291	58016063560	DRON:00069425
DRON:00092292	58016063590	DRON:00069425
DRON:00092293	60346035525	DRON:00069425
DRON:00092294	60346035540	DRON:00069425
