clinical_drug	ingredient	strength	unit
DRON:00035397	CHEBI:3619	200.0	UO:0000022
DRON:00035398	CHEBI:3640	250.0	UO:0000022
DRON:00035399	CHEBI:3640	500.0	UO:0000022
DRON:00035400	CHEBI:28487	0.125	UO:0000022
DRON:00035400	CHEBI:3640	500.0	UO:0000022
DRON:00035401	CHEBI:3641	12.0	UO:0000022
DRON:00035402	CHEBI:3641	25.0	UO:0000022
DRON:00035403	CHEBI:52010	6.0	UO:0000022
DRON:00035403	CHEBI:5551	200.0	UO:0000022
DRON:00035403	CHEBI:8104	75.0	UO:0000022
DRON:00035404	CHEBI:52010	4.0	UO:0000022
DRON:00035404	CHEBI:8065	24.0	UO:0000022
DRON:00035404	CHEBI:8104	50.0	UO:0000022
DRON:00035405	CHEBI:52010	4.0	UO:0000022
